,,,,,,,
,,,,,,,
,,,,,,,
Faculty,Area of Study,Area of Study Code,Level,Offered,Unit Code,Unit Name,More Info
Medicine,Pharmacology,PCOL,UG,Semester 1,PCOL3012,Drug Design and Development,http://sydney.edu.au/courses/uos/PCOL3012
Medicine,Pharmacology,PCOL,UG,Semester 2,PCOL3021,Drug Therapy,http://sydney.edu.au/courses/uos/PCOL3021
Medicine,Pharmacology,PCOL,UG,Semester 2,PCOL3022,Neuropharmacology,http://sydney.edu.au/courses/uos/PCOL3022
Medicine,Pharmacology,PCOL,UG,Semester 1,PCOL3911,Toxicology (Advanced),http://sydney.edu.au/courses/uos/PCOL3911
Medicine,Pharmacology,PCOL,UG,Semester 1,PCOL3912,Drug Design and Development (Adv),http://sydney.edu.au/courses/uos/PCOL3912
Medicine,Pharmacology,PCOL,UG,Semester 2,PCOL3921,Drug Therapy (Advanced),http://sydney.edu.au/courses/uos/PCOL3921
Medicine,Pharmacology,PCOL,UG,Semester 2,PCOL3922,Neuropharmacology (Advanced),http://sydney.edu.au/courses/uos/PCOL3922
Medicine,Physiology,PHSI,UG,Semester 1,PHSI2601,Physiology for Pharmacy,http://sydney.edu.au/courses/uos/PHSI2601
Medicine,Physiology,PHSI,UG,Semester 1,PHSI3009,Frontiers in Cellular Physiology,http://sydney.edu.au/courses/uos/PHSI3009
Medicine,Physiology,PHSI,UG,Semester 1,PHSI3010,Reproduction~ Development~ and Disease,http://sydney.edu.au/courses/uos/PHSI3010
Medicine,Physiology,PHSI,UG,Semester 2,PHSI3011,Frontiers in Whole Body Physiology,http://sydney.edu.au/courses/uos/PHSI3011
Medicine,Physiology,PHSI,UG,Semester 2,PHSI3012,Physiology of Disease,http://sydney.edu.au/courses/uos/PHSI3012
Medicine,Physiology,PHSI,UG,Semester 1,PHSI3909,Frontiers in Cellular Physiology (Adv),http://sydney.edu.au/courses/uos/PHSI3909
Medicine,Physiology,PHSI,UG,Semester 1,PHSI3910,Reproduction~ Development~ and Disease (Adv),http://sydney.edu.au/courses/uos/PHSI3910
Medicine,Physiology,PHSI,UG,Semester 2,PHSI3911,Frontiers in Whole Body Physiology (Adv),http://sydney.edu.au/courses/uos/PHSI3911
Medicine,Physiology,PHSI,UG,Semester 2,PHSI3912,Physiology of Disease (Adv),http://sydney.edu.au/courses/uos/PHSI3912
Medicine,Virology,VIRO,UG,Semester 1,VIRO3001,Virology,http://sydney.edu.au/courses/uos/VIRO3001
Medicine,Virology,VIRO,UG,Semester 2,VIRO3002,Medical and Applied Virology,http://sydney.edu.au/courses/uos/VIRO3002
Medicine,Virology,VIRO,UG,Semester 1,VIRO3901,Virology (Advanced),http://sydney.edu.au/courses/uos/VIRO3901
Medicine,Virology,VIRO,UG,Semester 2,VIRO3902,Medical and Applied Virology (Advanced),http://sydney.edu.au/courses/uos/VIRO3902
Nursing,Nursing,NURS,UG,Semester 1,NURS1001,Health and Human Biology,http://sydney.edu.au/courses/uos/NURS1001
Nursing,Nursing,NURS,UG,Semester 1,NURS1003,Population Health to Personal Healthcare,http://sydney.edu.au/courses/uos/NURS1003
Nursing,Nursing,NURS,UG,Semester 2,NURS1005,Interruptions to Normal Physiology,http://sydney.edu.au/courses/uos/NURS1005
Nursing,Nursing,NURS,UG,Semester 2,NURS1007,Health Research,http://sydney.edu.au/courses/uos/NURS1007
Nursing,Nursing,NURS,UG,Semester 1,NURS2003,Contexts of Health and Disease,http://sydney.edu.au/courses/uos/NURS2003
Nursing,Nursing,NURS,UG,Semester 1,NURS2004,Understanding Mental Health and Illness,http://sydney.edu.au/courses/uos/NURS2004
Nursing,Nursing,NURS,UG,Semester 2,NURS3011,First Line Interventions,http://sydney.edu.au/courses/uos/NURS3011
Nursing,Nursing,NURS,UG,Semester 2,NURS3012,Life Limiting Conditions and Palliation,http://sydney.edu.au/courses/uos/NURS3012
Nursing,Nursing,NURS,UG,Semester 2,NURS3015,Australian Health Care System,http://sydney.edu.au/courses/uos/NURS3015
Nursing,Nursing,NURS,UG,Semester 1,NURS3017,Frameworks for Nursing Practice,http://sydney.edu.au/courses/uos/NURS3017
Pharmacy,Pharmacy,PHAR,UG,Semester 1,PHAR1811,Foundations of Pharmacy,http://sydney.edu.au/courses/uos/PHAR1811
Pharmacy,Pharmacy,PHAR,UG,Semester 1,PHAR1812,Basic Pharmaceutical Sciences,http://sydney.edu.au/courses/uos/PHAR1812
Pharmacy,Pharmacy,PHAR,UG,Semester 2,PHAR1821,Social Pharmacy,http://sydney.edu.au/courses/uos/PHAR1821
Pharmacy,Pharmacy,PHAR,UG,Semester 2,PHAR1822,Physical Pharmaceutics and Formulation A,http://sydney.edu.au/courses/uos/PHAR1822
Pharmacy,Pharmacy,PHAR,UG,Semester 1,PHAR2811,Drug Discovery and Design A,http://sydney.edu.au/courses/uos/PHAR2811
Pharmacy,Pharmacy,PHAR,UG,Semester 1,PHAR2812,Microbiology and Infection,http://sydney.edu.au/courses/uos/PHAR2812
Pharmacy,Pharmacy,PHAR,UG,Semester 1,PHAR2813,Therapeutic Principles,http://sydney.edu.au/courses/uos/PHAR2813
Pharmacy,Pharmacy,PHAR,UG,Semester 2,PHAR2821,Drug Discovery and Design B,http://sydney.edu.au/courses/uos/PHAR2821
Pharmacy,Pharmacy,PHAR,UG,Semester 2,PHAR2822,Pharmacy Practice,http://sydney.edu.au/courses/uos/PHAR2822
Pharmacy,Pharmacy,PHAR,UG,Semester 2,PHAR2823,Physical Pharmaceutics and Formulation B,http://sydney.edu.au/courses/uos/PHAR2823
Science,Biochemistry,BCHM,UG,Semester 2,BCHM2071,Protein Biochemistry,http://sydney.edu.au/courses/uos/BCHM2071
Science,Biochemistry,BCHM,UG,Semester 1,BCHM2072,Human Biochemistry,http://sydney.edu.au/courses/uos/BCHM2072
Science,Biochemistry,BCHM,UG,Semester 2,BCHM2971,Protein Biochemistry (Advanced),http://sydney.edu.au/courses/uos/BCHM2971
Science,Biochemistry,BCHM,UG,Semester 1,BCHM2972,Human Biochemistry (Advanced),http://sydney.edu.au/courses/uos/BCHM2972
Science,Biochemistry,BCHM,UG,Semester 1,BCHM3071,Molecular Biology & Biochemistry- Genes,http://sydney.edu.au/courses/uos/BCHM3071
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3072,Human Molecular Cell Biology,http://sydney.edu.au/courses/uos/BCHM3072
Science,Biochemistry,BCHM,UG,Semester 1,BCHM3081,Molecular Biology & Biochemistry-Proteins,http://sydney.edu.au/courses/uos/BCHM3081
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3082,Medical and Metabolic Biochemistry,http://sydney.edu.au/courses/uos/BCHM3082
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3092,Proteomics and Functional Genomics,http://sydney.edu.au/courses/uos/BCHM3092
Science,Biochemistry,BCHM,UG,Semester 1,BCHM3971,Molecular Biology & Biochemistry-Genes (Adv),http://sydney.edu.au/courses/uos/BCHM3971
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3972,Human Molecular Cell Biology (Advanced),http://sydney.edu.au/courses/uos/BCHM3972
Science,Biochemistry,BCHM,UG,Semester 1,BCHM3981,Molecular Biology & Biochemistry-Proteins Adv,http://sydney.edu.au/courses/uos/BCHM3981
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3982,Medical and Metabolic Biochemistry (Adv),http://sydney.edu.au/courses/uos/BCHM3982
Science,Biochemistry,BCHM,UG,Semester 2,BCHM3992,Proteomics and Functional Genomics (Adv),http://sydney.edu.au/courses/uos/BCHM3992
Science,Biology,BIOL,UG,Semester 1,BIOL1003,Human Biology,http://sydney.edu.au/courses/uos/BIOL1003
Science,Biology,BIOL,UG,Semester 1,BIOL1006,Life and Evolution,http://sydney.edu.au/courses/uos/BIOL1006
Science,Biology,BIOL,UG,Semester 2,BIOL1007,From Molecules to Ecosystems,http://sydney.edu.au/courses/uos/BIOL1007
Science,Biology,BIOL,UG,Semester 1,BIOL1903,Human Biology (Advanced),http://sydney.edu.au/courses/uos/BIOL1903
Science,Biology,BIOL,UG,Semester 1,BIOL1906,Life and Evolution (Advanced),http://sydney.edu.au/courses/uos/BIOL1906
Science,Biology,BIOL,UG,Semester 2,BIOL1907,From Molecules to Ecosystems (Advanced),http://sydney.edu.au/courses/uos/BIOL1907
Science,Biology,BIOL,UG,Semester 1 - Intensive February,BIOL2010,Intro to Tropical Wildlife Biology,http://sydney.edu.au/courses/uos/BIOL2010
Science,Biology,BIOL,UG,Semester 1,BIOL2016,Cell Biology,http://sydney.edu.au/courses/uos/BIOL2016
Science,Biology,BIOL,UG,Semester 2 - Intensive July,BIOL2020,Introduction to Coral Reef Biology,http://sydney.edu.au/courses/uos/BIOL2020
Science,Biology,BIOL,UG,Semester 1,BIOL2021,Zoology,http://sydney.edu.au/courses/uos/BIOL2021
Science,Biology,BIOL,UG,Semester 2,BIOL2022,Biology Experimental Design & Analysis,http://sydney.edu.au/courses/uos/BIOL2022
Science,Biology,BIOL,UG,Semester 1,BIOL2023,Botany,http://sydney.edu.au/courses/uos/BIOL2023
Science,Biology,BIOL,UG,Semester 2,BIOL2024,Ecology and Conservation,http://sydney.edu.au/courses/uos/BIOL2024
Science,Biology,BIOL,UG,Semester 2 - Intensive July,BIOL2028,Introduction to Marine Field Biology,http://sydney.edu.au/courses/uos/BIOL2028
Science,Biology,BIOL,UG,Semester 1 - Intensive February,BIOL2910,Intro to Tropical Wildlife Biology (Advanced),http://sydney.edu.au/courses/uos/BIOL2910
Science,Biology,BIOL,UG,Semester 1,BIOL2916,Cell Biology (Advanced),http://sydney.edu.au/courses/uos/BIOL2916
Science,Biology,BIOL,UG,Semester 1,BIOL2921,Zoology (Advanced),http://sydney.edu.au/courses/uos/BIOL2921
Science,Biology,BIOL,UG,Semester 2,BIOL2922,Biol Experimental Design & Analysis Adv,http://sydney.edu.au/courses/uos/BIOL2922
Science,Biology,BIOL,UG,Semester 1,BIOL2923,Botany (Advanced),http://sydney.edu.au/courses/uos/BIOL2923
Science,Biology,BIOL,UG,Semester 2,BIOL2924,Ecology and Conservation (Advanced),http://sydney.edu.au/courses/uos/BIOL2924
Science,Biology,BIOL,UG,Semester 2 - Intensive July,BIOL2928,Introduction to Marine Field Ecology Adv,http://sydney.edu.au/courses/uos/BIOL2928
Science,Biology,BIOL,UG,Semester 2,BIOL3007,Ecology,http://sydney.edu.au/courses/uos/BIOL3007
Science,Biology,BIOL,UG,Semester 2 - Intensive July,BIOL3008,Marine Field Ecology,http://sydney.edu.au/courses/uos/BIOL3008
Science,Biology,BIOL,UG,Semester 1 - Intensive February,BIOL3010,Tropical Wildlife Biology,http://sydney.edu.au/courses/uos/BIOL3010
Science,Biology,BIOL,UG,Semester 2,BIOL3013,Marine Biology,http://sydney.edu.au/courses/uos/BIOL3013
Science,Biology,BIOL,UG,Semester 1,BIOL3018,Gene Technology and Genomics,http://sydney.edu.au/courses/uos/BIOL3018
Science,Biology,BIOL,UG,Semester 2,BIOL3026,Developmental Genetics,http://sydney.edu.au/courses/uos/BIOL3026
Science,Biology,BIOL,UG,Semester 2,BIOL3043,Plant Science,http://sydney.edu.au/courses/uos/BIOL3043
Science,Biology,BIOL,UG,Semester 1,BIOL3044,Evolution and Biodiversity,http://sydney.edu.au/courses/uos/BIOL3044
Science,Biology,BIOL,UG,Semester 1,BIOL3045,Animal Ecological Physiology,http://sydney.edu.au/courses/uos/BIOL3045
Science,Biology,BIOL,UG,Semester 1,BIOL3046,Animal Behaviour,http://sydney.edu.au/courses/uos/BIOL3046
Science,Biology,BIOL,UG,Semester 2,BIOL3907,Ecology (Advanced),http://sydney.edu.au/courses/uos/BIOL3907
Science,Biology,BIOL,UG,Semester 2 - Intensive July,BIOL3908,Marine Field Ecology (Advanced),http://sydney.edu.au/courses/uos/BIOL3908
Science,Biology,BIOL,UG,Semester 1 - Intensive February,BIOL3910,Tropical Wildlife Biology (Advanced),http://sydney.edu.au/courses/uos/BIOL3910
Science,Biology,BIOL,UG,Semester 2,BIOL3913,Marine Biology (Advanced),http://sydney.edu.au/courses/uos/BIOL3913
Science,Biology,BIOL,UG,Semester 1,BIOL3918,Gene Technology and Genomics Advanced,http://sydney.edu.au/courses/uos/BIOL3918
Science,Biology,BIOL,UG,Semester 2,BIOL3926,Developmental Genetics (Advanced),http://sydney.edu.au/courses/uos/BIOL3926
Science,Biology,BIOL,UG,Semester 2,BIOL3943,Plant Science (Advanced),http://sydney.edu.au/courses/uos/BIOL3943
Science,Biology,BIOL,UG,Semester 1,BIOL3944,Evolution and Biodiversity (Advanced),http://sydney.edu.au/courses/uos/BIOL3944
Science,Biology,BIOL,UG,Semester 1,BIOL3945,Animal Ecological Physiology (Advanced),http://sydney.edu.au/courses/uos/BIOL3945
Science,Biology,BIOL,UG,Semester 1,BIOL3946,Animal Behaviour (Advanced),http://sydney.edu.au/courses/uos/BIOL3946
Science,Chemistry,CHEM,UG,Semester 1,CHEM1001,Fundamentals of Chemistry 1A,http://sydney.edu.au/courses/uos/CHEM1001
Science,Chemistry,CHEM,UG,Semester 2,CHEM1002,Fundamentals of Chemistry 1B,http://sydney.edu.au/courses/uos/CHEM1002
Science,Chemistry,CHEM,UG,Both semesters,CHEM1101,Chemistry 1A,http://sydney.edu.au/courses/uos/CHEM1101
Science,Chemistry,CHEM,UG,Both semesters,CHEM1102,Chemistry 1B,http://sydney.edu.au/courses/uos/CHEM1102
Science,Chemistry,CHEM,UG,Semester 1,CHEM1611,Chemistry A (Pharmacy),http://sydney.edu.au/courses/uos/CHEM1611
Science,Chemistry,CHEM,UG,Semester 2,CHEM1612,Chemistry B (Pharmacy),http://sydney.edu.au/courses/uos/CHEM1612
Science,Chemistry,CHEM,UG,Semester 1,CHEM1901,Chemistry 1A (Advanced),http://sydney.edu.au/courses/uos/CHEM1901
Science,Chemistry,CHEM,UG,Semester 2,CHEM1902,Chemistry 1B (Advanced),http://sydney.edu.au/courses/uos/CHEM1902
Science,Chemistry,CHEM,UG,Semester 1,CHEM2401,Molecular Reactivity and Spectroscopy,http://sydney.edu.au/courses/uos/CHEM2401
Science,Chemistry,CHEM,UG,Semester 2,CHEM2402,Chemical Structure and Stability,http://sydney.edu.au/courses/uos/CHEM2402
Science,Chemistry,CHEM,UG,Semester 2,CHEM2403,Chemistry of Biological Molecules,http://sydney.edu.au/courses/uos/CHEM2403
Science,Chemistry,CHEM,UG,Semester 1,CHEM2404,Forensic and Environmental Chemistry,http://sydney.edu.au/courses/uos/CHEM2404
Science,Chemistry,CHEM,UG,Semester 1,CHEM2911,Molecular Reactivity & Spectroscopy Adv,http://sydney.edu.au/courses/uos/CHEM2911
Science,Chemistry,CHEM,UG,Semester 2,CHEM2912,Chemical Structure and Stability (Adv),http://sydney.edu.au/courses/uos/CHEM2912
Science,Chemistry,CHEM,UG,Semester 1,CHEM3110,Biomolecules: Properties and Reactions,http://sydney.edu.au/courses/uos/CHEM3110
Science,Chemistry,CHEM,UG,Semester 1,CHEM3111,Organic Structure and Reactivity,http://sydney.edu.au/courses/uos/CHEM3111
Science,Chemistry,CHEM,UG,Semester 1,CHEM3112,Materials Chemistry,http://sydney.edu.au/courses/uos/CHEM3112
Science,Chemistry,CHEM,UG,Semester 1,CHEM3113,Catalysis and Sustainable Processes,http://sydney.edu.au/courses/uos/CHEM3113
Science,Chemistry,CHEM,UG,Semester 2,CHEM3114,Metal Complexes: Medicine and Materials,http://sydney.edu.au/courses/uos/CHEM3114
Science,Chemistry,CHEM,UG,Semester 2,CHEM3115,Synthetic Medicinal Chemistry,http://sydney.edu.au/courses/uos/CHEM3115
Science,Chemistry,CHEM,UG,Semester 2,CHEM3116,Membranes~ Self Assembly and Surfaces,http://sydney.edu.au/courses/uos/CHEM3116
Science,Chemistry,CHEM,UG,Semester 2,CHEM3117,Molecular Spectroscopy & Quantum Theory,http://sydney.edu.au/courses/uos/CHEM3117
Science,Chemistry,CHEM,UG,Semester 1,CHEM3910,Biomolecules: Properties and Reactions Adv,http://sydney.edu.au/courses/uos/CHEM3910
Science,Chemistry,CHEM,UG,Semester 1,CHEM3911,Organic Structure and Reactivity (Adv),http://sydney.edu.au/courses/uos/CHEM3911
Science,Chemistry,CHEM,UG,Semester 1,CHEM3912,Materials Chemistry (Adv),http://sydney.edu.au/courses/uos/CHEM3912
Science,Chemistry,CHEM,UG,Semester 1,CHEM3913,Catalysis and Sustainable Process (Adv),http://sydney.edu.au/courses/uos/CHEM3913
Science,Chemistry,CHEM,UG,Semester 2,CHEM3914,Metal Complexes: Medic. & Mater. (Adv),http://sydney.edu.au/courses/uos/CHEM3914
Science,Chemistry,CHEM,UG,Semester 2,CHEM3915,Synthetic Medicinal Chemistry (Adv),http://sydney.edu.au/courses/uos/CHEM3914
Science,Chemistry,CHEM,UG,Semester 2,CHEM3916,Membranes~ Self Assembly & Surfaces(Adv),http://sydney.edu.au/courses/uos/CHEM3916
Science,Chemistry,CHEM,UG,Semester 2,CHEM3917,Mol. Spectroscopy & Quantum Theory (Adv),http://sydney.edu.au/courses/uos/CHEM3917
Science,Computational Science,COSC,UG,Semester 2,COSC1003,Introduction to Computational Science,http://sydney.edu.au/courses/uos/COSC1003
Science,Computational Science,COSC,UG,Semester 2,COSC1903,Introduction to Computational Sci (Adv),http://sydney.edu.au/courses/uos/COSC1903
Science,Environmental Science,ENVI,UG,Semester 2,ENVI1003,Global Challenges: Food~ Water~ Climate,http://sydney.edu.au/courses/uos/ENVI1003
Science,Environmental Science,ENVI,UG,Semester 1,ENVI3111,Environmental Law and Ethics,http://sydney.edu.au/courses/uos/ENVI3111
Science,Environmental Science,ENVI,UG,Semester 2,ENVI3112,Environmental Assessment,http://sydney.edu.au/courses/uos/ENVI3112
Science,Environmental Science,ENVI,UG,Semester 2,ENVI3114,Energy and the Environment,http://sydney.edu.au/courses/uos/ENVI3114
Science,Environmental Science,ENVI,UG,Semester 1,ENVI3911,Environmental Law and Ethics (Advanced),http://sydney.edu.au/courses/uos/ENVI3911
Science,Environmental Science,ENVI,UG,Semester 2,ENVI3912,Environmental Assessment (Advanced),http://sydney.edu.au/courses/uos/ENVI3912
Science,Geoscience,GEOS,UG,Semester 1,GEOS1001,Earth~ Environment and Society,http://sydney.edu.au/courses/uos/GEOS1001
Science,Geoscience,GEOS,UG,Semester 2,GEOS1002,Introductory Geography,http://sydney.edu.au/courses/uos/GEOS1002
Science,Geoscience,GEOS,UG,Semester 2,GEOS1003,Introduction to Geology,http://sydney.edu.au/courses/uos/GEOS1003
Science,Geoscience,GEOS,UG,Semester 1,GEOS1901,Earth~ Environment and Society Advanced,http://sydney.edu.au/courses/uos/GEOS1901
Science,Geoscience,GEOS,UG,Semester 2,GEOS1902,Introductory Geography (Advanced),http://sydney.edu.au/courses/uos/GEOS1902
Science,Geoscience,GEOS,UG,Semester 2,GEOS1903,Introduction to Geology (Advanced),http://sydney.edu.au/courses/uos/GEOS1903
Science,Geoscience,GEOS,UG,Semester 1,GEOS2111,Natural Hazards: a GIS Approach,http://sydney.edu.au/courses/uos/GEOS2111
Science,Geoscience,GEOS,UG,Semester 1,GEOS2114,Volcanoes~ Hot Rocks and Minerals,http://sydney.edu.au/courses/uos/GEOS2114
Science,Geoscience,GEOS,UG,Semester 1,GEOS2115,Oceans~ Coasts and Climate Change,http://sydney.edu.au/courses/uos/GEOS2115
Science,Geoscience,GEOS,UG,Semester 2,GEOS2121,Environmental and Resource Management,http://sydney.edu.au/courses/uos/GEOS2121
Science,Geoscience,GEOS,UG,Semester 1,GEOS2123,The Geography of Cities and Regions,http://sydney.edu.au/courses/uos/GEOS2123
Science,Geoscience,GEOS,UG,Semester 2,GEOS2124,Fossils and Tectonics,http://sydney.edu.au/courses/uos/GEOS2124
Science,Geoscience,GEOS,UG,Semester 1,GEOS2911,Natural Hazards: a GIS Approach Advanced,http://sydney.edu.au/courses/uos/GEOS2911
Science,Geoscience,GEOS,UG,Semester 1,GEOS2914,Volcanoes~ Hot Rocks and Minerals Adv,http://sydney.edu.au/courses/uos/GEOS2914
Science,Geoscience,GEOS,UG,Semester 1,GEOS2915,Oceans~ Coasts and Climate Change (Adv),http://sydney.edu.au/courses/uos/GEOS2915
Science,Geoscience,GEOS,UG,Semester 2,GEOS2921,Environmental & Resource Management Adv,http://sydney.edu.au/courses/uos/GEOS2921
Science,Geoscience,GEOS,UG,Semester 1,GEOS2923,The Geography of Cities & Regions (Adv),http://sydney.edu.au/courses/uos/GEOS2923
Science,Geoscience,GEOS,UG,Semester 2,GEOS2924,Fossils and Tectonics (Advanced),http://sydney.edu.au/courses/uos/GEOS2924
Science,Geoscience,GEOS,UG,Semester 2 - Intensive July,GEOS3008,Field Geology,http://sydney.edu.au/courses/uos/GEOS3008
Science,Geoscience,GEOS,UG,Semester 1,GEOS3009,Coastal Environments and Processes,http://sydney.edu.au/courses/uos/GEOS3009
Science,Geoscience,GEOS,UG,Semester 2,GEOS3014,GIS in Coastal Management,http://sydney.edu.au/courses/uos/GEOS3014
Science,Geoscience,GEOS,UG,Semester 1,GEOS3101,Earth's Structure and Evolution,http://sydney.edu.au/courses/uos/GEOS3101
Science,Geoscience,GEOS,UG,Semester 1,GEOS3102,Global Energy and Resources,http://sydney.edu.au/courses/uos/GEOS3102
Science,Geoscience,GEOS,UG,Semester 2,GEOS3103,Environmental and Sedimentary Geology,http://sydney.edu.au/courses/uos/GEOS3103
Science,Geoscience,GEOS,UG,Semester 2,GEOS3104,Geophysical Methods,http://sydney.edu.au/courses/uos/GEOS3104
Science,Geoscience,GEOS,UG,Semester 2,GEOS3333,Geographical Concepts~ Skills & Methods,http://sydney.edu.au/courses/uos/GEOS3333
Science,Geoscience,GEOS,UG,Semester 1,GEOS3520,Urban Citizenship & Sustainability,http://sydney.edu.au/courses/uos/GEOS3520
Science,Geoscience,GEOS,UG,Semester 1,GEOS3524,Global Development and Livelihoods,http://sydney.edu.au/courses/uos/GEOS3524
Science,Geoscience,GEOS,UG,Semester 1,GEOS3801,Earth's Structure and Evolutions (Adv),http://sydney.edu.au/courses/uos/GEOS3801
Science,Geoscience,GEOS,UG,Semester 1,GEOS3802,Global Energy and Resources (Adv),http://sydney.edu.au/courses/uos/GEOS3802
Science,Geoscience,GEOS,UG,Semester 2,GEOS3803,Environmental & Sedimentary Geology(Adv),http://sydney.edu.au/courses/uos/GEOS3803
Science,Geoscience,GEOS,UG,Semester 2,GEOS3804,Geophysical Methods (Advanced),http://sydney.edu.au/courses/uos/GEOS3804
Science,Geoscience,GEOS,UG,Semester 2 - Intensive July,GEOS3908,Field Geology (Adv),http://sydney.edu.au/courses/uos/GEOS3908
Science,Geoscience,GEOS,UG,Semester 1,GEOS3909,Coastal Environments and Processes (Adv),http://sydney.edu.au/courses/uos/GEOS3909
Science,Geoscience,GEOS,UG,Semester 2,GEOS3914,GIS in Coastal Management (Advanced),http://sydney.edu.au/courses/uos/GEOS3914
Science,Geoscience,GEOS,UG,Semester 1,GEOS3920,Urban Citizenship & Sustainability (Adv),http://sydney.edu.au/courses/uos/GEOS3920
Science,Geoscience,GEOS,UG,Semester 1,GEOS3924,Global Development and Livelihoods (Adv),http://sydney.edu.au/courses/uos/GEOS3924
Science,Geoscience,GEOS,UG,Semester 2,GEOS3933,Geog. Concepts~ Skills & Methods (Adv),http://sydney.edu.au/courses/uos/GEOS3933
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC1000,Bioethics,http://sydney.edu.au/courses/uos/HPSC1000
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC1900,Bioethics (Advanced),http://sydney.edu.au/courses/uos/HPSC1900
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC2100,The Birth of Modern Science,http://sydney.edu.au/courses/uos/HPSC2100
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC2101,What Is This Thing Called Science?,http://sydney.edu.au/courses/uos/HPSC2101
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC2900,The Birth of Modern Science (Advanced),http://sydney.edu.au/courses/uos/HPSC2900
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC2901,What Is This Thing Called Science? (Adv),http://sydney.edu.au/courses/uos/HPSC2901
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC3002,Hist & Phil of the Biomedical Sciences,http://sydney.edu.au/courses/uos/HPSC3002
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC3016,The Scientific Revolution,http://sydney.edu.au/courses/uos/HPSC3016
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC3023,Psychology & Psychiatry: History & Phil,http://sydney.edu.au/courses/uos/HPSC3023
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC3107,Science~ Ethics and Society,http://sydney.edu.au/courses/uos/HPSC3107
Science,History and Philosophy of Science,HPSC,UG,Semester 1,HPSC3108,Hist and Phil of the Physical Sciences,http://sydney.edu.au/courses/uos/HPSC3108
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC4102,History of Science,http://sydney.edu.au/courses/uos/HPSC4102
Science,History and Philosophy of Science,HPSC,UG,Semester 2,HPSC4103,Sociology of Science,http://sydney.edu.au/courses/uos/HPSC4103
Science,History and Philosophy of Science,HPSC,UG,Both semesters,HPSC4104,Recent Topics in HPS,http://sydney.edu.au/courses/uos/HPSC4104
Science,History and Philosophy of Science,HPSC,UG,Both semesters,HPSC4108,Core topics: History & Philosophy of Sci,http://sydney.edu.au/courses/uos/HPSC4108
Science,Mathematics,MATH,UG,Semester 1,MATH1001,Differential Calculus,http://sydney.edu.au/courses/uos/MATH1001
Science,Mathematics,MATH,UG,Semester 1,MATH1002,Linear Algebra,http://sydney.edu.au/courses/uos/MATH1002
Science,Mathematics,MATH,UG,Semester 2,MATH1003,Integral Calculus and Modelling,http://sydney.edu.au/courses/uos/MATH1003
Science,Mathematics,MATH,UG,Semester 2,MATH1004,Discrete Mathematics,http://sydney.edu.au/courses/uos/MATH1004
Science,Mathematics,MATH,UG,Semester 2,MATH1005,Statistics,http://sydney.edu.au/courses/uos/MATH1005
Science,Mathematics,MATH,UG,Semester 1,MATH1011,Applications of Calculus,http://sydney.edu.au/courses/uos/MATH1011
Science,Mathematics,MATH,UG,Semester 2,MATH1013,Mathematical Modelling,http://sydney.edu.au/courses/uos/MATH1013
Science,Mathematics,MATH,UG,Semester 2,MATH1014,Introduction to Linear Algebra,http://sydney.edu.au/courses/uos/MATH1014
Science,Mathematics,MATH,UG,Semester 1,MATH1015,Biostatistics,http://sydney.edu.au/courses/uos/MATH1015
Science,Mathematics,MATH,UG,Semester 1,MATH1111,Introduction to Calculus,http://sydney.edu.au/courses/uos/MATH1111
Science,Mathematics,MATH,UG,Semester 1,MATH1901,Differential Calculus (Advanced),http://sydney.edu.au/courses/uos/MATH1901
Science,Mathematics,MATH,UG,Semester 1,MATH1902,Linear Algebra (Advanced),http://sydney.edu.au/courses/uos/MATH1902
Science,Mathematics,MATH,UG,Semester 2,MATH1903,Integral Calculus and Modelling Advanced,http://sydney.edu.au/courses/uos/MATH1903
Science,Mathematics,MATH,UG,Semester 2,MATH1905,Statistics (Advanced),http://sydney.edu.au/courses/uos/MATH1905
Science,Mathematics,MATH,UG,Semester 1,MATH2061,Linear Mathematics and Vector Calculus,http://sydney.edu.au/courses/uos/MATH2061
Science,Mathematics,MATH,UG,Semester 2,MATH2065,Partial Differential Equations (Intro),http://sydney.edu.au/courses/uos/MATH2065
Science,Mathematics,MATH,UG,Semester 1,MATH2067,DEs and Vector Calculus for Engineers,http://sydney.edu.au/courses/uos/MATH2067
Science,Mathematics,MATH,UG,Semester 2,MATH2068,Number Theory and Cryptography,http://sydney.edu.au/courses/uos/MATH2068
